,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
104,Hirara,75.11,90,58,17.67,24.8,125.28
105,Avarua,77.0,83,1,4.7,-21.21,-159.78
106,Hong Kong,77.04,74,77,8.01,22.29,114.16
107,Evensk,11.32,87,100,9.44,61.95,159.23
108,Tasiilaq,30.2,86,100,23.04,65.61,-37.64
109,Thompson,-2.2,70,75,3.36,55.74,-97.86
110,Leh,40.68,13,84,4.52,34.17,77.58
111,Cao Bang,76.64,78,35,3.29,22.67,106.25
112,Hamadan,62.6,42,40,16.11,34.8,48.51
113,Saint-Philippe,74.75,69,20,26.4,-21.36,55.77
114,Sisimiut,23.41,88,93,14.7,66.94,-53.67
115,Zhigansk,13.37,94,88,8.52,66.77,123.37
116,Antalaha,81.01,78,28,9.24,-14.9,50.28
117,Voh,75.56,83,37,7.18,-20.97,164.7
118,Moerai,79.43,79,2,12.8,-22.43,-151.33
119,Olinda,80.6,83,75,3.36,-8.01,-34.86
120,Kungurtug,39.45,36,0,3.98,50.6,97.52
121,Thinadhoo,85.28,74,98,11.1,0.53,72.93
122,Merauke,79.83,84,99,9.33,-8.47,140.33
123,Chokwé,84.94,33,0,12.46,-24.53,32.98
124,Iberia,73.4,100,90,8.05,29.95,-91.75
125,Beringovskiy,17.35,96,100,14.97,63.05,179.32
126,Naroda,102.2,13,31,9.17,23.08,72.67
127,Padang,80.87,76,80,1.63,-0.95,100.35
128,Kuminskiy,50.29,49,34,9.26,58.67,66.57
129,Longyearbyen,32.0,88,75,1.12,78.22,15.64
130,Provideniya,18.18,95,99,14.76,64.38,-173.3
131,Campbeltown,56.55,47,0,23.04,55.43,-5.61
132,Port Elizabeth,80.6,42,30,13.87,-33.92,25.57
133,Agirish,44.06,62,99,11.48,61.92,63.02
134,Xingyi,70.21,25,31,7.07,24.19,102.82
135,Guerrero Negro,58.73,80,49,15.79,27.98,-114.06
136,Turukhansk,43.7,77,100,15.99,65.82,87.98
137,Skjervøy,44.62,65,75,24.16,70.03,20.97
138,Langsa,80.42,80,43,1.97,4.47,97.97
139,Alakurtti,39.99,76,65,4.0,66.97,30.35
140,Crystal Lake,48.33,57,93,5.01,42.24,-88.32
141,Tocache,68.9,61,27,1.45,-8.18,-76.51
142,Newark,44.92,60,1,10.29,40.74,-74.17
143,Talnakh,39.2,69,100,31.32,69.49,88.4
144,Olafsvik,40.8,95,100,13.11,64.89,-23.71
145,Altamont,35.26,86,90,3.36,42.21,-121.74
146,Lebu,53.08,89,72,3.27,-37.62,-73.65
147,Cape Town,70.68,73,46,14.99,-33.93,18.42
148,Cabo San Lucas,61.32,82,5,4.7,22.89,-109.91
149,Moree,55.4,62,0,8.05,-29.47,149.85
150,Loja,59.0,93,20,1.12,-3.99,-79.2
151,Arang,95.0,39,40,8.05,21.2,81.97
152,Yellowknife,12.61,85,75,8.05,62.46,-114.35
153,Saldanha,73.4,60,35,9.17,-33.01,17.94
154,Lompoc,49.17,87,40,4.81,34.64,-120.46
155,Souillac,80.31,69,40,11.41,-20.52,57.52
156,Predivinsk,43.74,52,0,8.32,57.07,93.44
157,Ciudad Bolivar,80.13,67,82,9.15,8.12,-63.55
158,Hilo,65.91,68,20,5.82,19.73,-155.09
159,Bend,30.04,92,1,4.7,44.06,-121.32
160,Magadan,2.84,82,3,9.06,59.57,150.8
161,Bourail,75.09,80,49,5.17,-21.57,165.48
162,Roald,49.6,57,0,5.82,62.58,6.13
163,Watertown,42.4,60,20,6.93,42.37,-71.18
164,Tucumcari,42.8,44,1,9.17,35.17,-103.72
165,Sun Valley,42.3,56,90,9.17,39.6,-119.78
166,Laguna,50.85,81,40,4.7,38.42,-121.42
167,Agüimes,73.4,49,20,25.28,27.91,-15.45
168,Camacha,66.2,59,20,9.17,33.08,-16.33
169,Berlevåg,38.44,82,99,14.56,70.86,29.09
170,Teya,39.31,67,0,5.26,60.38,92.63
171,Ambatofinandrahana,70.66,44,23,11.88,-20.55,46.8
172,Brownsville,77.83,83,90,14.99,25.9,-97.5
173,Ishigaki,76.39,90,64,17.05,24.34,124.16
174,Atambua,75.52,75,84,3.15,-9.11,124.89
175,Ciudad Guayana,79.11,70,89,6.96,8.35,-62.65
176,Buala,81.91,77,99,3.31,-8.14,159.59
177,Colesberg,79.79,22,3,17.36,-30.72,25.1
178,Pangnirtung,5.09,87,98,1.66,66.15,-65.71
179,Darhan,32.92,53,0,12.93,49.49,105.92
180,Mumford,89.11,60,62,12.68,5.26,-0.76
181,Bull Savanna,75.13,76,0,7.83,17.89,-77.59
182,Clyde River,-4.0,83,20,2.24,70.47,-68.59
183,Airai,61.88,69,76,2.73,-8.93,125.41
184,Ahipara,61.92,68,100,0.85,-35.17,173.17
185,Hobyo,88.45,57,100,10.65,5.35,48.53
186,Paita,72.68,76,0,8.66,-5.09,-81.11
187,Mbaïki,90.72,40,91,5.32,3.87,17.99
188,Darnah,68.27,39,35,2.64,32.77,22.64
189,Arlit,104.81,6,53,6.6,18.74,7.39
190,Abu Dhabi,92.52,26,88,10.29,24.47,54.37
191,Vrangel',42.53,82,100,13.27,42.73,133.08
192,Pangody,35.8,97,100,15.5,65.85,74.49
193,Pemangkat,80.89,75,50,5.23,1.17,108.97
194,Magdagachi,22.15,89,99,9.17,53.45,125.8
195,Mitsamiouli,87.8,70,40,3.36,-11.38,43.28
196,Beloha,84.88,46,0,19.93,-25.17,45.05
197,Nouadhibou,77.0,41,0,19.46,20.93,-17.03
198,Ponta Delgada,57.2,93,40,24.16,37.73,-25.67
199,Havelock,62.19,73,20,1.99,34.88,-76.9
200,Kamenka,53.49,32,97,5.01,51.32,42.77
201,Nālūt,96.13,11,90,25.75,30.33,10.85
202,Caucayá,69.01,84,38,2.08,-0.19,-74.78
203,Samandağ,84.2,23,40,8.05,36.08,35.98
204,Fernley,46.13,48,82,5.39,39.61,-119.25
205,Muravlenko,41.09,92,100,8.41,63.79,74.52
206,Tinskoy,39.96,56,0,7.05,56.15,96.92
207,Kukushtan,44.6,51,40,8.95,57.65,56.5
208,Jinchang,53.29,21,99,12.06,38.5,102.17
209,Acapulco de Juárez,75.2,83,20,2.24,16.86,-99.89
210,Bandarbeyla,86.27,55,94,10.98,9.49,50.81
211,Saint George,45.97,66,1,3.36,37.1,-113.58
212,Asha,48.94,53,54,7.65,55.0,57.27
213,General Pico,60.49,55,1,7.43,-35.66,-63.76
214,Upington,93.2,24,20,16.11,-28.45,21.26
215,Bhindār,96.8,20,75,6.93,24.5,74.18
216,Quryq,65.61,46,100,6.13,43.2,51.65
217,Lima,68.0,88,22,2.24,-12.04,-77.03
218,Westport,45.25,60,1,5.82,41.14,-73.36
219,Lonevåg,53.6,46,0,8.05,60.53,5.49
220,Kavieng,84.69,68,62,3.67,-2.57,150.8
221,Iqaluit,-9.2,76,5,1.88,63.75,-68.51
222,Alice Springs,78.8,27,63,4.7,-23.7,133.88
223,Annau,80.6,30,40,13.87,37.89,58.52
224,Caravelas,78.13,78,87,13.71,-17.71,-39.25
225,Vardø,37.78,91,97,8.81,70.37,31.11
226,Saint-Joseph,74.84,69,20,26.4,-21.37,55.62
227,Sitka,38.66,100,90,2.93,57.05,-135.33
228,Majene,79.18,83,100,2.46,-3.54,118.97
229,Gayny,41.76,72,89,6.2,60.31,54.32
230,Bambanglipuro,81.52,75,62,3.27,-7.95,110.28
231,Cortes,64.4,68,75,10.29,41.94,-1.44
232,Yanam,82.74,78,10,5.79,16.73,82.22
233,Sitrah,84.56,69,99,13.87,26.15,50.62
234,Tezu,71.89,59,59,3.8,27.92,96.17
235,Kurchum,57.63,31,86,6.26,48.57,83.65
236,São João da Barra,76.98,78,20,7.09,-21.64,-41.05
237,Bon Air,46.67,74,7,5.01,37.52,-77.56
238,Palmer,37.65,80,1,5.84,42.16,-72.33
239,Bentiu,101.07,7,100,2.46,9.23,29.83
240,Bulgan,32.02,43,20,7.34,48.81,103.53
241,Isangel,78.8,88,75,12.44,-19.55,169.27
242,At-Bashi,45.0,62,1,3.0,41.17,75.81
243,Cayenne,84.2,74,90,4.7,4.93,-52.33
244,Tocopilla,74.95,29,31,1.39,-22.09,-70.2
245,Rocha,62.76,84,0,10.0,-34.48,-54.33
246,Oranjemund,71.98,54,0,8.37,-28.55,16.43
247,Bethel,40.75,80,1,9.95,41.37,-73.41
248,Lashio,74.59,42,81,2.24,22.93,97.75
249,Jaciara,73.42,82,88,1.9,-15.97,-54.97
250,Horconcitos,65.57,68,100,6.69,8.47,-81.8
251,Kalabo,84.43,33,86,10.6,-14.97,22.68
252,Edd,90.05,48,100,9.08,13.93,41.69
253,Tsimmerbude,46.4,65,40,22.37,54.67,20.13
254,Havøysund,39.2,93,75,29.97,71.0,24.66
255,Riverton,42.82,87,40,10.29,40.52,-111.94
256,Vao,77.79,84,30,14.58,-22.67,167.48
257,Fairbanks,37.17,100,90,2.1,64.84,-147.72
258,Ratnagiri,90.3,56,31,6.67,16.98,73.3
259,Lubbock,50.14,57,1,5.82,33.6,-101.83
260,Mabaruma,81.73,72,93,6.53,8.2,-59.78
261,Dalmatovo,53.04,40,14,10.85,56.26,62.94
262,Talcahuano,48.2,93,85,6.93,-36.72,-73.12
263,Salalah,87.8,58,20,12.75,17.02,54.09
264,Dauphin,27.61,91,53,10.45,51.15,-100.05
265,Zhangye,54.72,20,87,11.52,38.93,100.45
266,Nome,33.44,100,90,5.82,64.5,-165.41
267,Jutaí,74.25,79,83,1.74,-5.18,-68.9
268,Odienné,94.73,39,57,2.06,9.51,-7.57
269,Yulara,80.6,26,37,6.11,-25.24,130.99
270,Calvinia,89.6,8,71,26.22,-31.47,19.78
271,Porto Santo,66.2,59,20,9.17,33.07,-16.34
272,Marathon,36.05,80,90,12.75,44.9,-89.77
273,Myitkyina,87.3,32,51,3.31,25.38,97.4
274,Comodoro Rivadavia,53.6,40,0,27.51,-45.87,-67.5
275,Kudahuvadhoo,85.26,70,95,10.87,2.67,72.89
276,Arrondissement de Moulins,67.71,59,75,3.36,46.5,3.33
277,Keti Bandar,85.01,62,94,16.87,24.14,67.45
278,Twinsburg,44.37,70,36,5.99,41.31,-81.44
279,Simbahan,84.61,75,37,5.64,6.3,120.58
280,Madang,80.76,80,41,0.74,-5.22,145.8
281,Oyama,56.59,56,76,10.69,36.3,139.8
282,Severnyy,50.0,29,99,8.95,50.68,36.55
283,Abnūb,84.2,37,0,14.99,27.27,31.15
284,Batagay,2.46,87,88,2.86,67.63,134.63
285,San Policarpo,81.81,82,17,13.11,12.18,125.51
286,Yagodnoye,-1.79,84,100,3.6,62.55,149.67
287,Kupang,80.6,94,75,2.24,-10.17,123.58
288,Burley,42.8,52,90,8.05,42.54,-113.79
289,Rurrenabaque,68.47,69,3,2.21,-14.44,-67.53
290,Robinsonville,60.96,100,90,6.93,31.47,-97.11
291,Bani Walid,87.75,13,30,14.83,31.76,13.99
292,Saint Paul,36.66,74,1,14.99,44.94,-93.09
293,Nchelenge,78.31,52,91,5.03,-9.35,28.73
294,Maceió,82.4,78,75,3.36,-9.67,-35.74
295,Yar-Sale,34.77,98,99,14.23,66.83,70.83
296,Ayan,19.08,94,100,7.58,56.45,138.17
297,Nanortalik,28.89,90,56,12.28,60.14,-45.24
298,Cidreira,68.4,76,0,11.9,-30.18,-50.21
299,Kaputa,78.04,53,96,4.54,-8.47,29.66
300,Kingston,80.94,69,20,14.99,18.0,-76.79
301,Bengkulu,81.18,75,91,2.13,-3.8,102.27
302,Prieska,90.68,16,0,21.36,-29.66,22.75
303,Mweka,79.54,62,100,3.67,-4.85,21.57
304,Nushki,81.75,15,2,9.86,29.55,66.02
305,Altay,55.17,27,51,4.59,47.87,88.12
306,Husavik,41.0,86,75,20.8,66.04,-17.34
307,Samarai,81.05,81,6,4.92,-10.62,150.67
308,Mandalgovi,30.58,36,60,24.67,45.76,106.27
309,Raudeberg,51.8,40,0,8.05,61.99,5.14
310,Yuci,60.8,48,39,13.42,37.68,112.73
311,Port Hardy,46.4,93,90,4.7,50.7,-127.42
312,Killybegs,54.86,76,75,9.17,54.63,-8.45
313,Ulaanbaatar,24.8,29,15,17.9,47.91,106.88
314,Tautira,78.39,78,75,2.24,-17.73,-149.15
315,Mananjary,77.7,81,24,10.36,-21.22,48.33
316,Kuril'sk,36.79,78,29,5.03,45.23,147.88
317,Kargopol',40.89,71,96,3.65,61.51,38.95
318,Sinnamary,80.78,83,96,11.52,5.38,-52.95
319,Mount Gambier,55.4,87,90,9.17,-37.83,140.77
320,Shrewsbury,56.59,40,26,10.29,52.71,-2.75
321,Kiama,55.26,100,40,4.7,-34.68,150.87
322,Torbay,32.63,90,90,24.16,47.67,-52.73
323,Karratha,84.99,58,92,12.24,-20.74,116.85
324,Modra,57.4,71,75,6.93,48.33,17.31
325,Kupino,67.08,38,100,9.66,54.37,77.3
326,Poltava,53.02,40,97,10.22,49.59,34.54
327,Huilong,60.01,73,64,16.13,31.81,121.66
328,Nang Rong,89.15,47,75,2.95,14.64,102.79
329,Mount Isa,73.4,31,35,1.12,-20.73,139.5
330,Birmitrapur,100.53,15,54,9.1,22.4,84.77
331,Dezful,85.96,24,6,3.94,32.38,48.41
332,Cabedelo,78.8,94,40,5.82,-6.98,-34.83
333,Tamandaré,82.89,73,92,4.99,-8.76,-35.1
334,Te Anau,44.69,72,47,8.55,-45.42,167.72
335,San Cristobal,77.0,83,40,2.24,7.77,-72.22
336,Lagoa,58.75,63,40,32.86,39.05,-27.98
337,Kenai,39.13,93,90,1.99,60.55,-151.26
338,Wanning,78.67,87,70,9.8,18.8,110.4
339,Kiryat Gat,79.83,65,54,1.99,31.61,34.76
340,Okhotsk,13.19,82,66,4.16,59.38,143.3
341,Santo Amaro da Imperatriz,68.0,64,20,5.82,-27.69,-48.78
342,Mława,51.39,40,5,12.75,53.11,20.38
343,Barcelos,62.53,77,40,8.05,41.54,-8.62
344,Abhā,70.65,64,40,20.8,18.22,42.51
345,Vila Franca do Campo,57.2,93,40,24.16,37.72,-25.43
346,Shimoda,52.88,84,81,1.01,34.67,138.95
347,Kloulklubed,78.8,94,75,15.79,7.04,134.26
348,Katsuura,53.01,68,73,5.99,35.13,140.3
349,Avera,51.82,71,75,3.36,33.19,-82.53
350,Adrar,78.55,22,0,16.69,20.5,-10.07
351,Kwang Binh,79.74,82,34,7.96,17.48,106.6
352,Voroshnëvo,47.3,45,75,11.18,51.65,36.02
353,Ibrā’,95.97,17,15,9.78,22.69,58.53
354,Pāsighāt,70.29,71,76,2.91,28.07,95.33
355,Kondopoga,41.0,60,85,8.95,62.21,34.26
356,Maner,89.6,59,40,5.82,25.65,84.88
357,Ostrovnoy,32.79,95,100,17.18,68.05,39.51
358,Banjar,80.6,94,40,1.12,-8.19,114.97
359,San Miguel de Tucumán,62.6,82,0,3.36,-26.82,-65.22
360,Eirunepé,70.63,73,49,2.44,-6.66,-69.87
361,Rawson,58.53,48,54,18.99,-43.3,-65.1
362,Lapeer,47.8,61,90,9.17,43.05,-83.32
363,Pilu,69.03,48,75,20.8,46.57,21.35
364,Mahébourg,80.37,69,40,11.41,-20.41,57.7
365,Béboto,105.28,20,96,3.71,8.27,16.94
366,Pochutla,77.67,65,5,8.28,15.74,-96.47
367,Amga,11.1,90,80,3.02,60.9,131.96
368,Örnsköldsvik,52.59,37,21,11.41,63.29,18.72
369,Prince Rupert,39.2,100,90,2.24,54.32,-130.32
370,Tokur,14.94,91,100,5.03,53.13,132.9
371,Half Moon Bay,51.57,87,90,3.87,37.46,-122.43
372,Brodnica,50.0,54,0,8.99,53.26,19.4
373,Urusha,19.6,81,84,8.68,54.05,122.9
374,Sovetskiy,46.18,57,74,11.23,61.36,63.58
375,Nicoya,71.4,68,31,3.36,10.15,-85.45
376,Aklavik,12.2,78,75,9.17,68.22,-135.01
377,Kīhei,62.89,88,1,4.7,20.79,-156.47
378,Vila Velha,77.0,65,20,14.99,-20.33,-40.29
379,Pithāpuram,81.07,77,26,3.24,17.12,82.27
380,Cockburn Town,77.77,80,4,12.55,21.46,-71.14
381,Philadelphia,46.65,70,1,5.82,39.95,-75.16
382,Tshikapa,80.2,64,74,3.91,-6.42,20.8
383,Kruisfontein,92.28,23,8,9.35,-34.0,24.73
384,Charters Towers,76.15,50,58,2.71,-20.1,146.27
385,Ushtobe,69.82,23,0,12.66,45.25,77.98
386,Mahabalipuram,88.81,62,20,11.41,12.63,80.17
387,Dubti,83.71,48,91,6.78,11.74,41.09
388,Gamut,78.4,86,100,3.56,8.53,126.24
389,Levelek,55.4,58,75,16.11,47.96,21.99
390,Manokwari,82.49,72,55,2.24,-0.87,134.08
391,Tungor,25.61,97,100,22.24,53.38,142.96
392,Yerbogachën,21.24,90,75,4.21,61.28,108.01
393,Laurinburg,50.4,70,1,3.36,34.77,-79.46
394,Adet,78.39,13,91,7.72,11.26,37.49
395,Gizo Government Station,82.04,75,97,1.39,-8.1,156.84
396,Khandyga,4.98,89,36,5.44,62.67,135.6
397,Amalāpuram,84.49,72,6,3.31,16.58,82.02
398,Galveston,72.48,100,90,8.05,29.37,-94.97
399,Vredendal,85.48,22,21,12.91,-31.67,18.5
400,Zinder,104.0,6,73,11.41,13.81,8.99
401,Arauca,75.2,100,90,4.7,7.08,-70.76
402,Makubetsu,43.0,73,0,8.99,45.37,141.82
403,Ambilobe,88.29,56,51,1.25,-13.2,49.05
404,Dillon,53.87,71,1,4.7,34.42,-79.37
405,Port Lincoln,67.64,69,100,24.27,-34.73,135.87
406,Jumla,51.98,30,95,2.89,29.27,82.18
407,Saint-François,65.59,59,75,3.36,46.42,3.91
408,San Quintín,57.45,82,28,12.1,30.48,-115.95
409,Ereymentau,68.2,31,71,6.82,51.62,73.1
410,Quatre Cocos,80.28,69,40,11.41,-20.21,57.76
411,Necochea,68.65,68,27,10.0,-38.55,-58.74
412,Monroe,44.6,56,20,13.87,43.15,-77.68
413,Nishihara,73.81,94,75,13.87,26.18,127.76
414,Kikwit,73.72,79,100,1.32,-5.04,18.82
415,Haines Junction,39.49,55,58,1.66,60.75,-137.51
416,Vestmannaeyjar,46.4,93,75,14.99,63.44,-20.27
417,Chumikan,20.77,95,100,13.67,54.72,135.31
418,Maltahöhe,86.68,14,16,11.43,-24.83,16.98
419,Sobolevo,41.9,62,100,8.79,54.43,31.9
420,Lorengau,83.41,75,60,3.04,-2.02,147.27
421,Flinders,55.47,93,11,4.92,-34.58,150.86
422,Lubao,85.39,70,75,4.7,14.92,120.55
423,Teahupoo,78.39,78,75,2.24,-17.83,-149.27
424,Ambulu,81.99,74,90,2.62,-8.35,113.61
425,Puri,84.2,83,40,10.29,19.8,85.85
426,Amuntai,76.66,90,72,1.72,-2.42,115.25
427,Biltine,102.0,7,97,10.47,14.53,20.92
428,Shelburne,41.86,81,90,12.75,44.08,-80.2
429,Ilulissat,26.6,63,92,5.82,69.22,-51.1
430,Safford,44.38,56,1,4.7,32.83,-109.71
431,Cortez,30.88,86,1,6.93,37.35,-108.59
432,Bereznehuvate,58.53,37,100,7.36,47.31,32.85
433,Kampene,75.92,80,100,1.63,-3.6,26.67
434,Rosarito,55.17,87,90,4.7,32.33,-117.03
435,Chabahar,85.21,53,64,13.49,25.29,60.64
436,Henties Bay,61.0,86,4,8.01,-22.12,14.28
437,Biak,82.49,71,32,1.81,-0.91,122.88
438,Hambantota,86.0,84,40,5.82,6.12,81.12
439,Georgiyevka,73.4,28,0,8.95,43.04,74.71
440,Eilat,91.4,21,1,13.87,29.56,34.95
441,Ejura,93.2,47,12,7.9,7.39,-1.36
442,Inta,35.69,95,100,3.42,66.03,60.17
443,Kushima,61.84,88,90,3.36,31.46,131.23
444,Pyaozerskiy,38.86,72,69,8.9,65.83,31.17
445,Kyra,28.47,58,100,10.07,49.58,111.98
446,Mayor Pablo Lagerenza,70.65,43,1,2.01,-19.93,-60.77
447,Binzhou,60.01,69,7,1.99,37.37,118.02
448,Macusani,35.19,22,62,0.89,-14.08,-70.43
449,College,37.62,93,75,2.06,64.86,-147.8
450,Nantucket,44.78,56,1,9.17,41.28,-70.1
451,West Bay,81.77,88,20,9.44,19.37,-81.42
452,Muli,85.84,67,69,10.76,2.92,73.57
453,Mayachnyy,50.92,42,63,12.37,52.68,55.69
454,Tongchuanshi,59.7,34,90,3.29,35.08,109.09
455,Ahmadpur East,95.61,14,20,2.89,29.14,71.26
456,Khor,56.43,42,100,14.9,47.89,134.95
457,Acajutla,73.99,82,2,1.99,13.59,-89.83
458,Esim,87.82,62,64,11.56,4.87,-2.24
459,Poconé,76.39,82,53,1.52,-16.26,-56.62
460,Constitución,55.6,78,79,7.81,-35.33,-72.42
461,Jingdezhen,59.83,80,44,0.96,29.29,117.21
462,Machalí,67.5,26,1,1.72,-34.18,-70.67
463,Ketchikan,43.12,93,1,5.82,55.34,-131.65
464,Tāybād,71.87,21,72,6.33,34.74,60.78
465,Kshenskiy,49.05,46,100,8.61,51.84,37.71
466,Baraboo,42.8,52,1,10.29,43.47,-89.74
467,Turan,80.94,88,40,2.24,16.07,108.22
468,Along,66.24,69,92,1.83,28.17,94.77
469,Storslett,46.4,65,75,24.16,69.77,21.02
470,Cobija,68.0,82,2,3.36,-11.03,-68.77
471,Paarl,73.72,73,77,14.99,-33.73,18.98
472,Sebrovo,53.71,40,88,8.72,50.1,43.3
473,Malartic,20.5,92,90,13.87,48.13,-78.13
474,Anloga,91.4,63,20,14.99,5.79,0.9
475,Noumea,80.22,54,44,9.17,-22.28,166.46
476,Coronado,56.03,77,90,3.36,32.69,-117.18
477,Zavodskoy,42.8,81,100,13.42,43.46,132.29
478,Hualmay,69.26,80,49,4.36,-11.1,-77.61
